Region,Country,Year,Nationality wise number of Foreign Tourists Arrivals (FTAs) in India (UOM:Number) |Scaling Factor:1,Nationality wise average duration of stay by Foreign Tourists Arrivals (FTAs) in India (UOM:Day) |Scaling Factor:1
Central and South America,Others,"Calendar Year (Jan - Dec), 2023",34272.0,24.0
Middle East,Saudi Arabia,"Calendar Year (Jan - Dec), 2023",39127.0,12.7
Middle East,Turkey,"Calendar Year (Jan - Dec), 2023",33590.0,8.9
Middle East,United Arab Emirates,"Calendar Year (Jan - Dec), 2023",59480.0,10.1
Middle East,Yemen,"Calendar Year (Jan - Dec), 2023",21400.0,67.4
North America,Canada,"Calendar Year (Jan - Dec), 2022",289259.0,44.84
North America,Others,"Calendar Year (Jan - Dec), 2022",1.0,26.0
North America,United States Of America,"Calendar Year (Jan - Dec), 2022",1403399.0,34.33
Western Europe,Austria,"Calendar Year (Jan - Dec), 2022",18375.0,23.99
Western Europe,Belgium,"Calendar Year (Jan - Dec), 2022",24172.0,25.3
Western Europe,Denmark,"Calendar Year (Jan - Dec), 2022",12331.0,19.36
Western Europe,Finland,"Calendar Year (Jan - Dec), 2022",8781.0,20.44
Western Europe,France,"Calendar Year (Jan - Dec), 2022",120282.0,25.74
Western Europe,Germany,"Calendar Year (Jan - Dec), 2022",141425.0,20.25
Western Europe,Greece,"Calendar Year (Jan - Dec), 2022",4988.0,17.08
Western Europe,Ireland,"Calendar Year (Jan - Dec), 2022",30959.0,27.45
Western Europe,Italy,"Calendar Year (Jan - Dec), 2022",62226.0,27.65
Western Europe,Netherlands,"Calendar Year (Jan - Dec), 2022",55019.0,18.68
Western Europe,Norway,"Calendar Year (Jan - Dec), 2022",13449.0,26.95
Western Europe,Others,"Calendar Year (Jan - Dec), 2022",10345.0,20.12
Western Europe,Portugal,"Calendar Year (Jan - Dec), 2022",69522.0,38.86
Western Europe,Spain,"Calendar Year (Jan - Dec), 2022",39658.0,23.28
Western Europe,Sweden,"Calendar Year (Jan - Dec), 2022",22372.0,28.76
Western Europe,Switzerland,"Calendar Year (Jan - Dec), 2022",25255.0,20.44
Western Europe,United Kingdom,"Calendar Year (Jan - Dec), 2022",641051.0,28.4
Eastern Europe,Czech,"Calendar Year (Jan - Dec), 2022",6287.0,20.53
Eastern Europe,Hungary,"Calendar Year (Jan - Dec), 2022",4298.0,20.63
Eastern Europe,Kazakhstan,"Calendar Year (Jan - Dec), 2022",9546.0,18.94
Eastern Europe,Others,"Calendar Year (Jan - Dec), 2022",44593.0,24.27
Eastern Europe,Poland,"Calendar Year (Jan - Dec), 2022",18025.0,16.06
Eastern Europe,Russian Federation,"Calendar Year (Jan - Dec), 2022",97911.0,34.89
Eastern Europe,Ukraine,"Calendar Year (Jan - Dec), 2022",7304.0,43.14
Africa,Egypt,"Calendar Year (Jan - Dec), 2022",9612.0,12.57
Africa,Kenya,"Calendar Year (Jan - Dec), 2022",35743.0,28.75
Africa,Mauritius,"Calendar Year (Jan - Dec), 2022",24743.0,19.28
Africa,Nigeria,"Calendar Year (Jan - Dec), 2022",10072.0,49.17
Africa,Others,"Calendar Year (Jan - Dec), 2022",84942.0,38.43
Africa,South Africa,"Calendar Year (Jan - Dec), 2022",25860.0,24.74
Africa,Sudan,"Calendar Year (Jan - Dec), 2022",24930.0,27.02
Africa,Tanzania,"Calendar Year (Jan - Dec), 2022",18581.0,31.86
South Asia,Afghanistan,"Calendar Year (Jan - Dec), 2022",1617.0,62.9
South Asia,Bangladesh,"Calendar Year (Jan - Dec), 2022",1277557.0,18.62
South Asia,Bhutan,"Calendar Year (Jan - Dec), 2022",20772.0,19.14
South Asia,Iran,"Calendar Year (Jan - Dec), 2022",13064.0,32.39
South Asia,Maldives,"Calendar Year (Jan - Dec), 2022",71707.0,17.69
South Asia,Nepal,"Calendar Year (Jan - Dec), 2022",138203.0,26.93
South Asia,Pakistan,"Calendar Year (Jan - Dec), 2022",16637.0,63.68
South Asia,Sri Lanka,"Calendar Year (Jan - Dec), 2022",183459.0,14.83
South East Asia,Indonesia,"Calendar Year (Jan - Dec), 2022",13961.0,24.65
South East Asia,Malaysia,"Calendar Year (Jan - Dec), 2022",126192.0,15.31
South East Asia,Myanmar (Burma),"Calendar Year (Jan - Dec), 2022",15963.0,31.89
South East Asia,Others,"Calendar Year (Jan - Dec), 2022",4018.0,34.85
South East Asia,Phillippines,"Calendar Year (Jan - Dec), 2022",28379.0,18.87
South East Asia,Singapore,"Calendar Year (Jan - Dec), 2022",132668.0,15.53
South East Asia,Thailand,"Calendar Year (Jan - Dec), 2022",54367.0,26.47
South East Asia,Vietnam,"Calendar Year (Jan - Dec), 2022",37232.0,10.06
East Asia,China,"Calendar Year (Jan - Dec), 2022",11762.0,64.5
East Asia,Japan,"Calendar Year (Jan - Dec), 2022",64196.0,32.84
East Asia,Others,"Calendar Year (Jan - Dec), 2022",11471.0,35.79
East Asia,Republic Of Korea,"Calendar Year (Jan - Dec), 2022",49423.0,44.54
Australasia,Australia,"Calendar Year (Jan - Dec), 2022",376898.0,34.67
Australasia,New Zealand,"Calendar Year (Jan - Dec), 2022",54974.0,42.48
Australasia,Others,"Calendar Year (Jan - Dec), 2022",3802.0,41.49
West Asia,Bahrain,"Calendar Year (Jan - Dec), 2022",9959.0,19.56
West Asia,Iraq,"Calendar Year (Jan - Dec), 2022",36277.0,21.76
West Asia,Israel,"Calendar Year (Jan - Dec), 2022",36418.0,24.89
West Asia,Oman,"Calendar Year (Jan - Dec), 2022",56474.0,13.41
West Asia,Others,"Calendar Year (Jan - Dec), 2022",20985.0,17.55
West Asia,Saudi Arabia,"Calendar Year (Jan - Dec), 2022",18513.0,16.36
West Asia,Turkey,"Calendar Year (Jan - Dec), 2022",18996.0,11.15
West Asia,United Arab Emirates,"Calendar Year (Jan - Dec), 2022",43702.0,12.2
West Asia,Yemen,"Calendar Year (Jan - Dec), 2022",19022.0,68.0
Not classified elsewhere,Not Classified Elsewhere,"Calendar Year (Jan - Dec), 2022",7326.0,39.5
Central and South America,Argentina,"Calendar Year (Jan - Dec), 2022",4720.0,26.34
