Region,Country,Year,Nationality wise number of Foreign Tourists Arrivals (FTAs) in India (UOM:Number) |Scaling Factor:1,Nationality wise average duration of stay by Foreign Tourists Arrivals (FTAs) in India (UOM:Day) |Scaling Factor:1
South East Asia,Singapore,"Calendar Year (Jan - Dec), 2019",,10.3
South East Asia,Thailand,"Calendar Year (Jan - Dec), 2019",,14.4
South East Asia,Vietnam,"Calendar Year (Jan - Dec), 2019",,11.4
East Asia,China,"Calendar Year (Jan - Dec), 2019",,16.2
East Asia,Japan,"Calendar Year (Jan - Dec), 2019",,15.0
East Asia,Others,"Calendar Year (Jan - Dec), 2019",,31.7
East Asia,Republic Of Korea,"Calendar Year (Jan - Dec), 2019",,20.6
East Asia,Taiwan,"Calendar Year (Jan - Dec), 2019",,12.1
Australasia,Australia,"Calendar Year (Jan - Dec), 2019",,23.8
Australasia,New Zealand,"Calendar Year (Jan - Dec), 2019",,25.7
Australasia,Others,"Calendar Year (Jan - Dec), 2019",,29.1
West Asia,Bahrain,"Calendar Year (Jan - Dec), 2019",,15.3
West Asia,Iraq,"Calendar Year (Jan - Dec), 2019",,17.7
West Asia,Israel,"Calendar Year (Jan - Dec), 2019",,21.0
West Asia,Oman,"Calendar Year (Jan - Dec), 2019",,11.5
West Asia,Others,"Calendar Year (Jan - Dec), 2019",,11.8
West Asia,Saudi Arabia,"Calendar Year (Jan - Dec), 2019",,13.0
West Asia,Turkey,"Calendar Year (Jan - Dec), 2019",,7.7
West Asia,United Arab Emirates,"Calendar Year (Jan - Dec), 2019",,11.0
West Asia,Yemen,"Calendar Year (Jan - Dec), 2019",,51.4
Not classified elsewhere,Not Classified Elsewhere,"Calendar Year (Jan - Dec), 2019",,24.4
Central and South America,Argentina,"Calendar Year (Jan - Dec), 2019",,18.1
Central and South America,Brazil,"Calendar Year (Jan - Dec), 2019",,17.9
Central and South America,Mexico,"Calendar Year (Jan - Dec), 2019",,13.4
Central and South America,Others,"Calendar Year (Jan - Dec), 2019",,19.0
North America,Canada,"Calendar Year (Jan - Dec), 2018",,34.2
North America,United States Of America,"Calendar Year (Jan - Dec), 2018",,29.2
Western Europe,Austria,"Calendar Year (Jan - Dec), 2018",,20.0
Western Europe,Belgium,"Calendar Year (Jan - Dec), 2018",,20.4
Western Europe,Denmark,"Calendar Year (Jan - Dec), 2018",,16.0
Western Europe,Finland,"Calendar Year (Jan - Dec), 2018",,17.0
Western Europe,France,"Calendar Year (Jan - Dec), 2018",,21.3
Western Europe,Germany,"Calendar Year (Jan - Dec), 2018",,18.8
Western Europe,Greece,"Calendar Year (Jan - Dec), 2018",,17.2
Western Europe,Ireland,"Calendar Year (Jan - Dec), 2018",,22.1
Western Europe,Italy,"Calendar Year (Jan - Dec), 2018",,19.1
Western Europe,Netherlands,"Calendar Year (Jan - Dec), 2018",,18.6
Western Europe,Norway,"Calendar Year (Jan - Dec), 2018",,19.4
Western Europe,Others,"Calendar Year (Jan - Dec), 2018",,23.9
Western Europe,Portugal,"Calendar Year (Jan - Dec), 2018",,32.0
Western Europe,Spain,"Calendar Year (Jan - Dec), 2018",,17.6
Western Europe,Sweden,"Calendar Year (Jan - Dec), 2018",,19.1
Western Europe,Switzerland,"Calendar Year (Jan - Dec), 2018",,19.3
Western Europe,United Kingdom,"Calendar Year (Jan - Dec), 2018",,22.5
Eastern Europe,Czech,"Calendar Year (Jan - Dec), 2018",,17.3
Eastern Europe,Hungary,"Calendar Year (Jan - Dec), 2018",,18.7
Eastern Europe,Kazakhstan,"Calendar Year (Jan - Dec), 2018",,19.0
Eastern Europe,Others,"Calendar Year (Jan - Dec), 2018",,17.8
Eastern Europe,Poland,"Calendar Year (Jan - Dec), 2018",,16.4
Eastern Europe,Russian Federation,"Calendar Year (Jan - Dec), 2018",,18.9
Eastern Europe,Ukraine,"Calendar Year (Jan - Dec), 2018",,24.6
Africa,Egypt,"Calendar Year (Jan - Dec), 2018",,19.6
Africa,Kenya,"Calendar Year (Jan - Dec), 2018",,27.1
Africa,Mauritius,"Calendar Year (Jan - Dec), 2018",,17.4
Africa,Nigeria,"Calendar Year (Jan - Dec), 2018",,42.0
Africa,Others,"Calendar Year (Jan - Dec), 2018",,33.9
Africa,South Africa,"Calendar Year (Jan - Dec), 2018",,18.4
Africa,Sudan,"Calendar Year (Jan - Dec), 2018",,28.2
Africa,Tanzania,"Calendar Year (Jan - Dec), 2018",,31.2
South Asia,Afghanistan,"Calendar Year (Jan - Dec), 2018",,26.3
South Asia,Bangladesh,"Calendar Year (Jan - Dec), 2018",,14.5
South Asia,Bhutan,"Calendar Year (Jan - Dec), 2018",,21.3
South Asia,Iran,"Calendar Year (Jan - Dec), 2018",,26.2
South Asia,Maldives,"Calendar Year (Jan - Dec), 2018",,17.1
South Asia,Nepal,"Calendar Year (Jan - Dec), 2018",,22.0
South Asia,Pakistan,"Calendar Year (Jan - Dec), 2018",,30.9
South Asia,Sri Lanka,"Calendar Year (Jan - Dec), 2018",,13.8
South East Asia,Indonesia,"Calendar Year (Jan - Dec), 2018",,19.1
South East Asia,Malaysia,"Calendar Year (Jan - Dec), 2018",,14.4
South East Asia,Myanmar (Burma),"Calendar Year (Jan - Dec), 2018",,12.7
South East Asia,Others,"Calendar Year (Jan - Dec), 2018",,18.2
South East Asia,Phillippines,"Calendar Year (Jan - Dec), 2018",,19.8
South East Asia,Singapore,"Calendar Year (Jan - Dec), 2018",,14.5
South East Asia,Thailand,"Calendar Year (Jan - Dec), 2018",,17.5
South East Asia,Vietnam,"Calendar Year (Jan - Dec), 2018",,13.8
East Asia,China,"Calendar Year (Jan - Dec), 2018",,19.1
East Asia,Japan,"Calendar Year (Jan - Dec), 2018",,17.2
East Asia,Others,"Calendar Year (Jan - Dec), 2018",,35.4
East Asia,Republic Of China Taiwan,"Calendar Year (Jan - Dec), 2018",,13.7
Australasia,Australia,"Calendar Year (Jan - Dec), 2018",,26.4
Australasia,New Zealand,"Calendar Year (Jan - Dec), 2018",,29.4
Australasia,Others,"Calendar Year (Jan - Dec), 2018",,27.9
West Asia,Bahrain,"Calendar Year (Jan - Dec), 2018",,26.1
West Asia,Iraq,"Calendar Year (Jan - Dec), 2018",,21.6
West Asia,Israel,"Calendar Year (Jan - Dec), 2018",,24.7
West Asia,Oman,"Calendar Year (Jan - Dec), 2018",,11.2
West Asia,Others,"Calendar Year (Jan - Dec), 2018",,16.9
West Asia,Saudi Arabia,"Calendar Year (Jan - Dec), 2018",,19.1
West Asia,Turkey,"Calendar Year (Jan - Dec), 2018",,16.9
West Asia,United Arab Emirates,"Calendar Year (Jan - Dec), 2018",,12.2
West Asia,Yemen,"Calendar Year (Jan - Dec), 2018",,62.1
Not classified elsewhere,Not Classified Elsewhere,"Calendar Year (Jan - Dec), 2018",,24.0
Central and South America,Argentina,"Calendar Year (Jan - Dec), 2018",,17.7
Central and South America,Brazil,"Calendar Year (Jan - Dec), 2018",,21.3
Central and South America,Mexico,"Calendar Year (Jan - Dec), 2018",,15.9
Central and South America,Others,"Calendar Year (Jan - Dec), 2018",,22.6
North America,Canada,"Calendar Year (Jan - Dec), 2017",,35.8
North America,United States Of America,"Calendar Year (Jan - Dec), 2017",,29.7
Western Europe,Austria,"Calendar Year (Jan - Dec), 2017",,20.8
Western Europe,Belgium,"Calendar Year (Jan - Dec), 2017",,20.2
Western Europe,Denmark,"Calendar Year (Jan - Dec), 2017",,15.7
Western Europe,Finland,"Calendar Year (Jan - Dec), 2017",,16.1
Western Europe,France,"Calendar Year (Jan - Dec), 2017",,21.9
Western Europe,Germany,"Calendar Year (Jan - Dec), 2017",,18.7
Western Europe,Greece,"Calendar Year (Jan - Dec), 2017",,16.0
Western Europe,Ireland,"Calendar Year (Jan - Dec), 2017",,22.4
Western Europe,Italy,"Calendar Year (Jan - Dec), 2017",,20.0
Western Europe,Netherlands,"Calendar Year (Jan - Dec), 2017",,18.4
Western Europe,Norway,"Calendar Year (Jan - Dec), 2017",,19.6
Western Europe,Others,"Calendar Year (Jan - Dec), 2017",,25.0
Western Europe,Portugal,"Calendar Year (Jan - Dec), 2017",,33.3
Western Europe,Spain,"Calendar Year (Jan - Dec), 2017",,17.7
Western Europe,Sweden,"Calendar Year (Jan - Dec), 2017",,20.0
Western Europe,Switzerland,"Calendar Year (Jan - Dec), 2017",,19.3
Western Europe,United Kingdom,"Calendar Year (Jan - Dec), 2017",,22.9
Eastern Europe,Czech,"Calendar Year (Jan - Dec), 2017",,18.2
Eastern Europe,Hungary,"Calendar Year (Jan - Dec), 2017",,18.6
Eastern Europe,Kazakhstan,"Calendar Year (Jan - Dec), 2017",,17.7
Eastern Europe,Others,"Calendar Year (Jan - Dec), 2017",,18.3
Eastern Europe,Poland,"Calendar Year (Jan - Dec), 2017",,16.5
Eastern Europe,Russian Federation,"Calendar Year (Jan - Dec), 2017",,18.2
Eastern Europe,Ukraine,"Calendar Year (Jan - Dec), 2017",,25.6
Africa,Egypt,"Calendar Year (Jan - Dec), 2017",,18.9
Africa,Kenya,"Calendar Year (Jan - Dec), 2017",,27.4
Africa,Mauritius,"Calendar Year (Jan - Dec), 2017",,17.6
Africa,Nigeria,"Calendar Year (Jan - Dec), 2017",,44.4
Africa,Others,"Calendar Year (Jan - Dec), 2017",,38.1
Africa,South Africa,"Calendar Year (Jan - Dec), 2017",,19.0
Africa,Sudan,"Calendar Year (Jan - Dec), 2017",,41.9
Africa,Tanzania,"Calendar Year (Jan - Dec), 2017",,32.0
South Asia,Afghanistan,"Calendar Year (Jan - Dec), 2017",,27.4
South Asia,Bangladesh,"Calendar Year (Jan - Dec), 2017",,14.5
South Asia,Bhutan,"Calendar Year (Jan - Dec), 2017",,21.6
South Asia,Iran,"Calendar Year (Jan - Dec), 2017",,23.5
South Asia,Maldives,"Calendar Year (Jan - Dec), 2017",,20.8
South Asia,Nepal,"Calendar Year (Jan - Dec), 2017",,33.2
South Asia,Pakistan,"Calendar Year (Jan - Dec), 2017",,28.4
South Asia,Sri Lanka,"Calendar Year (Jan - Dec), 2017",,15.5
South East Asia,Indonesia,"Calendar Year (Jan - Dec), 2017",,23.3
South East Asia,Malaysia,"Calendar Year (Jan - Dec), 2017",,13.9
South East Asia,Myanmar (Burma),"Calendar Year (Jan - Dec), 2017",,15.2
South East Asia,Others,"Calendar Year (Jan - Dec), 2017",,22.7
South East Asia,Phillippines,"Calendar Year (Jan - Dec), 2017",,18.4
South East Asia,Singapore,"Calendar Year (Jan - Dec), 2017",,13.3
South East Asia,Thailand,"Calendar Year (Jan - Dec), 2017",,20.5
South East Asia,Vietnam,"Calendar Year (Jan - Dec), 2017",,16.0
East Asia,China,"Calendar Year (Jan - Dec), 2017",,19.6
East Asia,Japan,"Calendar Year (Jan - Dec), 2017",,17.4
East Asia,Others,"Calendar Year (Jan - Dec), 2017",,33.3
East Asia,Republic Of China Taiwan,"Calendar Year (Jan - Dec), 2017",,13.7
Australasia,Australia,"Calendar Year (Jan - Dec), 2017",,27.5
Australasia,New Zealand,"Calendar Year (Jan - Dec), 2017",,29.6
Australasia,Others,"Calendar Year (Jan - Dec), 2017",,33.6
West Asia,Bahrain,"Calendar Year (Jan - Dec), 2017",,24.0
West Asia,Iraq,"Calendar Year (Jan - Dec), 2017",,24.1
West Asia,Israel,"Calendar Year (Jan - Dec), 2017",,26.8
West Asia,Oman,"Calendar Year (Jan - Dec), 2017",,10.9
West Asia,Others,"Calendar Year (Jan - Dec), 2017",,14.3
West Asia,Saudi Arabia,"Calendar Year (Jan - Dec), 2017",,17.1
West Asia,Turkey,"Calendar Year (Jan - Dec), 2017",,13.0
West Asia,United Arab Emirates,"Calendar Year (Jan - Dec), 2017",,11.7
West Asia,Yemen,"Calendar Year (Jan - Dec), 2017",,65.6
Not classified elsewhere,Not Classified Elsewhere,"Calendar Year (Jan - Dec), 2017",,34.8
Central and South America,Argentina,"Calendar Year (Jan - Dec), 2017",,18.2
Central and South America,Brazil,"Calendar Year (Jan - Dec), 2017",,21.7
Central and South America,Mexico,"Calendar Year (Jan - Dec), 2017",,15.6
Central and South America,Others,"Calendar Year (Jan - Dec), 2017",,23.3
